,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8571881759192502,0.8571881759192502,-0.36813028503775713,0.40381893676606956,-0.1862168271498174,-0.15246726009485287,-0.08560760160857428,0.09682701254525701,1.0
std,0.012013961940499904,0.012013961940499904,0.02279739325054071,0.028156533652742954,0.04407397410561851,0.028270886632704478,0.02176532035914462,0.024831621699967856,0.0
min,0.8378947368421052,0.8378947368421052,-0.4130689177721203,0.3577282071226179,-0.2595954672840258,-0.19380748017253793,-0.1392233673509418,0.06864982555546811,1.0
25%,0.8511591148577451,0.8511591148577451,-0.37586422145119286,0.3847547916116291,-0.20856673025077271,-0.17737308866036555,-0.08914859430895715,0.07268008458089358,1.0
50%,0.856238700016638,0.856238700016638,-0.36859286642415307,0.40717394887673675,-0.19839147951311498,-0.14642398673303142,-0.08461898787053404,0.10061444265975464,1.0
75%,0.8662789085463923,0.8662789085463923,-0.3553744382559517,0.4142387048218692,-0.15031148999296273,-0.126694197939271,-0.07288789363506169,0.10905221670745956,1.0
max,0.8757894736842106,0.8757894736842106,-0.326932302771855,0.4607302222319917,-0.11488892232084646,-0.12137100455581401,-0.05724609124868195,0.14379977246871445,1.0
