,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8533,0.8533,-0.29172622941610554,0.4804155183399967,-0.0928265511800824,-0.10350661845654312,-0.07274399657434813,0.03124647991294246,1.0
std,0.01179500836041342,0.01179500836041342,0.027371297107512647,0.03882443496911662,0.03698640732762876,0.02169823492618583,0.012210397026832543,0.03187998127497526,0.0
min,0.842,0.842,-0.325121358737629,0.42966101694915254,-0.15181518151815188,-0.12924440264793485,-0.08703638064293799,-0.026236923946847623,1.0
25%,0.84575,0.84575,-0.3136044764585849,0.4521548173469284,-0.11663864348817327,-0.12172643549100257,-0.0805270943954244,0.014418944703008266,1.0
50%,0.851,0.851,-0.2957158662446531,0.47308550368440505,-0.09111926963262845,-0.10799746893752032,-0.07217843743645529,0.02918152526949898,1.0
75%,0.856,0.856,-0.2734115798788403,0.506186306849165,-0.06841170291646076,-0.08577246968111657,-0.07090374578637108,0.061183624271666015,1.0
max,0.883,0.883,-0.24909929384637564,0.5428015564202334,-0.036519327287135694,-0.06670089995846953,-0.04409579399589978,0.06886057821404064,1.0
