,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8788,0.8788,-0.5184971158572613,0.2777290074974922,-0.15665932677788924,-0.18934182391883025,-0.1280977598470704,0.04851968690126635,1.0
std,0.014327905949191921,0.014327905949191921,0.03043084751401729,0.027538207764350585,0.03924293311011781,0.036882781826048885,0.023145733357176738,0.03158628377733203,0.0
min,0.857,0.857,-0.5655448717948719,0.2341579861111111,-0.22719467247445135,-0.24030508457389008,-0.16666084854994628,-0.0047041089482028065,1.0
25%,0.874,0.874,-0.5346020766593973,0.2561945994504449,-0.17210722035062725,-0.20735237432282694,-0.1340947939572903,0.04060208077446041,1.0
50%,0.88,0.88,-0.5106220976434208,0.2808869774964313,-0.15523170893306926,-0.19469626018233738,-0.12567479145058225,0.052242472249094805,1.0
75%,0.88575,0.88575,-0.5018685112901062,0.2905928178606045,-0.1303026923685976,-0.16174076261922798,-0.11474870632866832,0.07401658372023114,1.0
max,0.902,0.902,-0.4781348577284591,0.322526119953262,-0.09620427881297455,-0.12718778742400794,-0.09718382225475776,0.08270724972709176,1.0
