,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.7926,0.7926,-0.007701691959746554,0.9823141507596359,0.030374370941363728,0.010460941165774743,-0.019789783991941794,0.0007892494584195969,1.0
std,0.00861781101363141,0.00861781101363141,0.021235330038958326,0.05376053506744337,0.046954837206482386,0.026868115008620304,0.028199564840876348,0.047450550465350926,0.0
min,0.785,0.785,-0.0424125276633891,0.9035361580121057,-0.06623442664632595,-0.03523758822349689,-0.05519180339745572,-0.07494957644211378,1.0
25%,0.78525,0.78525,-0.022868138905790425,0.941218933276412,0.024975311167417275,-0.006449547297033431,-0.03810996162251715,-0.03940519661613777,1.0
50%,0.79,0.79,-0.0026903126843276504,0.9929972150102065,0.045195214230828895,0.0161984303375652,-0.020683200440916295,0.007115720814956941,1.0
75%,0.7965,0.7965,0.0022697325200211893,1.0058101949776452,0.06464328864317709,0.021415567654560055,-0.011901898969391766,0.04093356977860539,1.0
max,0.81,0.81,0.029148197340417015,1.0822811970638058,0.07214841960604679,0.053120284702029834,0.03313533540174585,0.06050751827454903,1.0
