,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8177999999999999,0.8177999999999999,-0.34230340768911793,0.4250884823444408,-0.1610150678872207,-0.17810991794027892,-0.06256621814528245,0.01210701578526505,1.0
std,0.010695793565696717,0.010695793565696717,0.017857744889361208,0.02615588139255355,0.04004048716108096,0.023424996678442583,0.024289334345932733,0.03729039568923608,0.0
min,0.807,0.807,-0.36842948717948715,0.3898619957537155,-0.2459495724270523,-0.21837906939778642,-0.09999083577204258,-0.05185779203421545,1.0
25%,0.81025,0.81025,-0.3575736762506403,0.4172816942272216,-0.18151221683891736,-0.18787288768664973,-0.0813151457124915,-0.0038952483246062555,1.0
50%,0.814,0.814,-0.34222288311293586,0.42062608102414195,-0.1561787150362478,-0.18000021873774408,-0.06338348752459595,0.007238903412654429,1.0
75%,0.8254999999999999,0.8254999999999999,-0.32872497204632456,0.42532055268947594,-0.12978025584959682,-0.1651831212350994,-0.047844095919347684,0.020639906380629805,1.0
max,0.839,0.839,-0.3164898622807966,0.4782778038169803,-0.11871860698738701,-0.13196567132418846,-0.022540491737994356,0.08284414106939705,1.0
