,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8200912383938606,0.8200912383938606,-0.2395110503587659,0.553229783493237,-0.046961009434771675,-0.07970915699435219,-0.0894744392836159,0.06055579013011819,1.0
std,0.015451747311019788,0.015451747311019788,0.027034902378438683,0.040882914135129025,0.05622939728322168,0.03251348849609843,0.039703996132567664,0.060914342739701886,0.0
min,0.7967914438502673,0.7967914438502673,-0.28336945936606667,0.4743604685041664,-0.1397435897435897,-0.13675806761236667,-0.14541521250394085,-0.03171622326551904,1.0
25%,0.8107662378569537,0.8107662378569537,-0.25353263703118417,0.5314834395682093,-0.07324449044552311,-0.09527870052239329,-0.11302588618059858,0.022770713573569606,1.0
50%,0.8179384203480589,0.8179384203480589,-0.23661179680524613,0.556550375253395,-0.044610926358869374,-0.07011581901661679,-0.09338763035012299,0.05093992921126338,1.0
75%,0.830715911775444,0.830715911775444,-0.22100177186288814,0.5722949328561779,-0.010254097459279549,-0.05901772013940279,-0.06605589222280946,0.10519019217472825,1.0
max,0.8475935828877005,0.8475935828877005,-0.20606331091204694,0.6243716767876341,0.03214285714285714,-0.046808089275272115,-0.025602071871484625,0.16008662335498916,1.0
