,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8487,0.8487,-0.5742431894725671,0.2450513327795419,-0.2435834588270016,-0.30433612440878344,-0.11995119676898873,0.032452010091114245,1.0
std,0.011643309953216349,0.011643309953216349,0.017511671959186622,0.01799150878564612,0.03614754715523424,0.028490730169246834,0.022688566753227283,0.03958795810704718,0.0
min,0.832,0.832,-0.6038962858023283,0.20542289192525434,-0.32317764718012165,-0.35083570383526264,-0.1514208638373353,-0.02914881728441049,1.0
25%,0.84175,0.84175,-0.581821166830977,0.23958436036600278,-0.2571641298914026,-0.3250507245557277,-0.12943616705676225,-0.00274984690863405,1.0
50%,0.848,0.848,-0.5742478993002598,0.24511142321757995,-0.2388957114659776,-0.30354512543637996,-0.12186091733603507,0.04938372245549777,1.0
75%,0.85925,0.85925,-0.5602420504868956,0.2542413576487951,-0.21235582046962556,-0.2821078839937611,-0.1126151221642796,0.06375259866102889,1.0
max,0.863,0.863,-0.5513522601719748,0.27196087734024305,-0.20980533525594813,-0.2655250827566905,-0.08274705550187345,0.07549665568533492,1.0
