,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.9216272751516769,0.9216272751516769,-0.8402486544435568,0.0009968211339782414,-0.9300678559174506,-0.6555726333209972,-0.6371785062984795,0.02673868342032301,1.0
std,0.012826234949664372,0.012826234949664372,0.019004088130363788,0.0031522252031631033,0.01970289699907582,0.029034542961336264,0.038474644600816316,0.31586059167664987,0.0
min,0.8962264150943396,0.8962264150943396,-0.8637274549098196,0.0,-0.9539951573849879,-0.7017757124392195,-0.6800954276382936,-0.08352668213457076,1.0
25%,0.9140164899882215,0.9140164899882215,-0.8528846153846154,0.0,-0.9443842657491186,-0.6767542680016239,-0.6723749152223745,-0.08057301348440589,1.0
50%,0.9257075471698113,0.9257075471698113,-0.8434939798998309,0.0,-0.9351811958447029,-0.6565383085180285,-0.642251238658403,-0.07614168618266978,1.0
75%,0.9310349856657111,0.9310349856657111,-0.8239542486259475,0.0,-0.9158575657038772,-0.6428042215195533,-0.6051604007974878,-0.06309141875688638,1.0
max,0.9363207547169812,0.9363207547169812,-0.8094262295081968,0.009968211339782413,-0.8918918918918919,-0.6087822841000807,-0.5751548633216189,0.9251870324189526,1.0
