,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.7424999999999999,0.7424999999999999,-0.02954851017338757,0.9365418574976617,0.00302719893066975,-0.014046911264121636,-0.01230837379973499,-0.005252634918772531,1.0
std,0.009686760724480268,0.009686760724480268,0.02464955635871461,0.05350304109922175,0.05652952155888308,0.02764027081921074,0.024974963445197673,0.04669917956472258,0.0
min,0.727,0.727,-0.06285728010760439,0.8677548132801051,-0.07399706457925637,-0.05066476398259086,-0.043245451161061835,-0.10895323969712734,1.0
25%,0.73625,0.73625,-0.0422489185632314,0.9057238630336794,-0.042267204663454155,-0.029816603886200384,-0.030137852689279068,-0.03185940453370798,1.0
50%,0.7415,0.7415,-0.04114967471897449,0.9108147888929768,0.004996516718377753,-0.02225715133979818,-0.009316472223351219,0.011558182591799915,1.0
75%,0.7505,0.7505,-0.019970489732284366,0.9560820385288471,0.02908131952435747,0.005653105966729563,-0.0052207099641703655,0.03217566815530252,1.0
max,0.755,0.755,0.011801699444720037,1.0281644421531,0.11476902231443453,0.031652285922189924,0.03637030255563553,0.03512059973924381,1.0
