,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8444356749636693,0.8444356749636693,-0.33202541738126756,0.37580972805428703,-0.30362871351624204,-0.18858876239772288,-0.09207350691510227,0.1608802452091347,1.0
std,0.0076137824326607635,0.0076137824326607635,0.042979456153430136,0.06647487185167747,0.06481913804579985,0.04711759449437474,0.046475333393754495,0.06941378010742036,0.0
min,0.8328877005347594,0.8328877005347594,-0.3909155880250933,0.2744369767716071,-0.3839421613394216,-0.2456049698306186,-0.15009994127203233,0.02300447738150377,1.0
25%,0.8385695187165776,0.8385695187165776,-0.36232623481457493,0.3268726862003394,-0.35686492424903454,-0.22661512985503626,-0.1247207211635874,0.13224942021607558,1.0
50%,0.8441466400360802,0.8441466400360802,-0.33407059536628914,0.369756645923264,-0.3174214468061636,-0.19930891100551118,-0.09461651088167498,0.18352756598894238,1.0
75%,0.8493975903614458,0.8493975903614458,-0.3043284725513603,0.4144789047159846,-0.24214099314747023,-0.14008161171810452,-0.06810387826898058,0.20174454049716103,1.0
max,0.8582887700534759,0.8582887700534759,-0.2580341405702972,0.4828954371703682,-0.21542553191489366,-0.1262696807407767,0.0009589477776252853,0.23694029850746268,1.0
