,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.7924,0.7924,0.00808428777826587,1.0249487155203667,0.028753104501109062,0.014158979800206884,-0.010972432402983439,7.154114732935146e-06,1.0
std,0.01043711326628841,0.01043711326628841,0.028553157732622673,0.07441956618325517,0.042107914398148594,0.029615577840226507,0.03569017814750834,0.06072895736768583,0.0
min,0.776,0.776,-0.05380204018745077,0.8753118594707895,-0.03060646136406575,-0.029734029321547256,-0.052238532063436496,-0.09810807748952077,1.0
25%,0.7865,0.7865,-0.0012179394777174918,0.9968008412775855,0.0029142049706565865,-0.0025361355350767747,-0.040996336855769006,-0.04259134238032407,1.0
50%,0.7895000000000001,0.7895000000000001,0.005231169985543654,1.0139485196528872,0.03613321866239727,0.011906727256932113,-0.015206719688292264,-0.0112929538318019,1.0
75%,0.7975000000000001,0.7975000000000001,0.02587906656335305,1.06769870921784,0.045443985996836106,0.03740926629119989,0.010287305763284172,0.06238924887595874,1.0
max,0.809,0.809,0.05319966075114818,1.156432335780162,0.11461307216728744,0.0593755016008851,0.044211441148341704,0.0704850704850705,1.0
