,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8853,0.8853,-0.7604240752017715,0.14126760466315585,-0.3270723357409519,-0.44347027218049834,-0.19193851296815317,0.06839997346130118,1.0
std,0.00904372096478485,0.00904372096478485,0.013835368288758188,0.011225652996631297,0.030753537226629737,0.0389702140010911,0.03602462415588041,0.03229676238236256,0.0
min,0.872,0.872,-0.7877536649382242,0.12463126843657817,-0.40716191092070164,-0.5020798187074156,-0.25505932244982266,0.008441943127962079,1.0
25%,0.87775,0.87775,-0.7672965356810361,0.13194287517666606,-0.32914859112738043,-0.47063172199765857,-0.20741852966800667,0.061814497182926476,1.0
50%,0.8875,0.8875,-0.7616150322545672,0.14522643183480466,-0.3227272470777333,-0.4502442814983385,-0.19143187263670292,0.0775207223801706,1.0
75%,0.89075,0.89075,-0.7518827741993634,0.14754955115454116,-0.3135871120426694,-0.4175876054990286,-0.1724139889614918,0.08492603438222199,1.0
max,0.897,0.897,-0.74196570110967,0.15939928980957235,-0.2900136798905608,-0.3833245969546262,-0.13149131124881291,0.11782488344988346,1.0
