,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.7744259339511523,0.7744259339511523,-0.18803474120384306,0.6503318292452313,-0.1957599675923898,-0.10206858383849941,-0.10481495417288415,0.20011551451747564,1.0
std,0.011854897827621768,0.011854897827621768,0.04492347153491527,0.07240752610086139,0.04743617183818735,0.031076917209633816,0.019592836552769232,0.040627445859101184,0.0
min,0.7573616018845701,0.7573616018845701,-0.29239130434782606,0.4914933837429111,-0.26266766020864374,-0.15752650726371792,-0.1271992965762223,0.13143549364021806,1.0
25%,0.7670105090339356,0.7670105090339356,-0.20736661085291547,0.6144560992545013,-0.22634380136329033,-0.12349654021938271,-0.12270802164915173,0.17727228178967092,1.0
50%,0.772995283018868,0.772995283018868,-0.17632743251738026,0.6651714576588426,-0.21043946790825402,-0.0896616485859062,-0.10872107396857919,0.1933126017205301,1.0
75%,0.7759128386336867,0.7759128386336867,-0.15929062875418615,0.7037678097347352,-0.15712221750817598,-0.0861636980480299,-0.08497542120303046,0.22978388524942123,1.0
max,0.7959905660377359,0.7959905660377359,-0.13715846994535513,0.7364829396325461,-0.1257793439956627,-0.05753774464983383,-0.07966988727858289,0.26593318126928756,1.0
