accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,classifier,seed
0.763,0.763,-0.8799212598425197,0.0,-0.9316939890710383,-0.8390864311552375,-0.4786262228889205,-0.2371364653243848,DT,1
0.761,0.761,-0.8682634730538922,0.0,-0.9366391184573003,-0.8125224577793748,-0.4438045369736338,-0.21839080459770116,DT,1
0.741,0.741,-0.8477366255144033,0.0,-0.9112426035502958,-0.8069726531264994,-0.4548937797303934,-0.2524271844660194,DT,1
0.755,0.755,-0.8964803312629399,0.0,-0.9425287356321839,-0.8601532567049808,-0.46269872822867764,-0.24249422632794457,DT,1
0.739,0.739,-0.8662551440329218,0.0,-0.9088235294117647,-0.8379734085414987,-0.49065891916525484,-0.2660332541567696,DT,1
0.747,0.747,-0.871900826446281,0.0,-0.9098837209302325,-0.8442275747508305,-0.5113569565377126,-0.25829383886255924,DT,1
0.747,0.747,-0.8813905930470347,0.0,-0.9108108108108108,-0.8503633885986828,-0.5521463634899011,-0.21809744779582366,DT,1
0.759,0.759,-0.8980769230769231,0.0,-0.9397260273972603,-0.8698630136986302,-0.47582652384415447,-0.26552462526766596,DT,1
0.75,0.75,-0.8704453441295547,0.0,-0.9171270718232044,-0.8297756571237234,-0.4998681519441125,-0.22790697674418606,DT,1
0.737,0.737,-0.900398406374502,0.0,-0.936986301369863,-0.8699530046995301,-0.4777964957173828,-0.24336283185840707,DT,1
0.763,0.763,-0.8799212598425197,0.0,-0.9316939890710383,-0.8390864311552375,-0.4786262228889205,-0.2371364653243848,LR,1
0.761,0.761,-0.8682634730538922,0.0,-0.9366391184573003,-0.8125224577793748,-0.4438045369736338,-0.21839080459770116,LR,1
0.741,0.741,-0.8477366255144033,0.0,-0.9112426035502958,-0.8069726531264994,-0.4548937797303934,-0.2524271844660194,LR,1
0.755,0.755,-0.8964803312629399,0.0,-0.9425287356321839,-0.8601532567049808,-0.46269872822867764,-0.24249422632794457,LR,1
0.739,0.739,-0.8662551440329218,0.0,-0.9088235294117647,-0.8379734085414987,-0.49065891916525484,-0.2660332541567696,LR,1
0.747,0.747,-0.871900826446281,0.0,-0.9098837209302325,-0.8442275747508305,-0.5113569565377126,-0.25829383886255924,LR,1
0.747,0.747,-0.8813905930470347,0.0,-0.9108108108108108,-0.8503633885986828,-0.5521463634899011,-0.21809744779582366,LR,1
0.759,0.759,-0.8980769230769231,0.0,-0.9397260273972603,-0.8698630136986302,-0.47582652384415447,-0.26552462526766596,LR,1
0.75,0.75,-0.8704453441295547,0.0,-0.9171270718232044,-0.8297756571237234,-0.4998681519441125,-0.22790697674418606,LR,1
0.737,0.737,-0.900398406374502,0.0,-0.936986301369863,-0.8699530046995301,-0.4777964957173828,-0.24336283185840707,LR,1
0.699,0.699,-0.6161417322834646,0.0,-0.6612021857923497,-0.5806010928961749,-0.596806610361508,-0.2268370607028754,KN,1
0.707,0.707,-0.48502994011976047,0.0,-0.5977961432506887,-0.39310097017606904,-0.6082053090773374,-0.10699588477366255,KN,1
0.741,0.741,-0.8477366255144033,0.0,-0.9112426035502958,-0.8069726531264994,-0.4548937797303934,-0.2524271844660194,KN,1
0.632,0.632,-0.1682104512816816,0.6628811287591194,-0.2201149425287356,-0.0674415556005932,-0.4793692740834741,0.6023634466525928,KN,1
0.739,0.739,-0.8662551440329218,0.0,-0.9088235294117647,-0.8379734085414987,-0.49065891916525484,-0.2660332541567696,KN,1
0.694,0.694,-0.46487603305785125,0.0,-0.5465116279069767,-0.40539867109634553,-0.6094399549050712,-0.16444444444444445,KN,1
0.615,0.615,-0.14947634655173103,0.7110911720798558,-0.17142857142857143,-0.04194041252864783,-0.4972223702637821,0.5902363131780338,KN,1
0.584,0.584,-0.0955128205128205,0.8104325699745547,-0.2233597692862293,-0.05097607232639911,-0.5060539132778802,0.645856052344602,KN,1
0.75,0.75,-0.8704453441295547,0.0,-0.9171270718232044,-0.8297756571237234,-0.4998681519441125,-0.22790697674418606,KN,1
0.666,0.666,-0.4760956175298805,0.0,-0.547945205479452,-0.41630836916308367,-0.6015761664153472,-0.16317991631799164,KN,1
