,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,8.0,6.0,10.0,10.0,10.0
mean,0.857595991983968,0.857595991983968,-0.02432280285955233,0.9382489737882708,-0.05079665958245441,-0.033631239819023946,-0.11876350886825444,-0.06278169195187186,1.0
std,0.014166368533377981,0.014166368533377981,0.3306741579565785,0.7617688766332277,0.3737674271457212,0.254373965753391,0.3125973562214532,0.19771771801181753,0.0
min,0.8296593186372746,0.8296593186372746,-0.4567404426559356,0.0,-0.83,-0.47984641638225256,-0.5220306513409961,-0.18627450980392157,1.0
25%,0.8517034068136272,0.8517034068136272,-0.3350236646382691,0.19287949921752737,-0.21694940350283448,-0.11139810555168932,-0.3670567862795342,-0.17602453219092268,1.0
50%,0.8588637274549098,0.8588637274549098,0.051515151515151514,1.1148874865572307,0.1646604074249537,0.02003689033390077,-0.09361156719177179,-0.14533809189981517,1.0
75%,0.8673016032064128,0.8673016032064128,0.08969810767438642,1.2186568778237046,0.19153664302600476,0.1372621970455255,0.02568015275177158,-0.11124595469255663,1.0
max,0.876,0.876,0.5613682092555332,2.279816513761468,0.20564516129032262,0.21685766836445955,0.48709672038167684,0.3834080717488789,1.0
