,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8041791050118479,0.8041791050118479,-0.42083511128821066,0.28395324070841543,-0.35341607616736875,-0.24613394479027745,-0.2589039774591948,0.3720556966781707,1.0
std,0.014180346070556472,0.014180346070556472,0.04170537475894088,0.06574372732180163,0.08826303350391683,0.05614966251635661,0.03996356543077307,0.0724860409092986,0.0
min,0.7780748663101604,0.7780748663101604,-0.5038116413880727,0.13379752884155915,-0.5126262626262625,-0.3564615173113312,-0.30531494165695394,0.19210526315789472,1.0
25%,0.793783422459893,0.793783422459893,-0.42276404795135275,0.2759657364792908,-0.38312704538092945,-0.25874501513764714,-0.2894351479632701,0.35764718756694824,1.0
50%,0.8119143239625167,0.8119143239625167,-0.41346879983415896,0.2846771546849539,-0.34874405110318013,-0.2325227296974904,-0.26524423083439924,0.3799479377684143,1.0
75%,0.8127715854505366,0.8127715854505366,-0.4043470661071713,0.3066496334561536,-0.30753083382031804,-0.21599815902752734,-0.24176001472108338,0.412554046047887,1.0
max,0.8232931726907631,0.8232931726907631,-0.35224666199869625,0.3938928126298296,-0.2238868081564711,-0.18196873662856736,-0.16967617794099324,0.45257108287961284,1.0
