,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.9000583372224815,0.9000583372224815,-0.7454393042373421,0.0260471169816907,-0.7196845155294078,-0.5029532874953728,-0.23101181091230086,0.27067346835477796,1.0
std,0.010217432621117026,0.010217432621117026,0.017191499687120065,0.010445777484438179,0.11387921721726033,0.05135620484741839,0.13067393602270563,0.26274529397291235,0.0
min,0.8797169811320755,0.8797169811320755,-0.7769422268005838,0.010779734099892203,-0.8607701185604868,-0.582637218701243,-0.4649948400412797,-0.10290237467018469,1.0
25%,0.8951419677978532,0.8951419677978532,-0.7535085417274184,0.020214966286261914,-0.8273744324886049,-0.5487819038646513,-0.30654213976276334,0.04293296368164548,1.0
50%,0.9022379269729093,0.9022379269729093,-0.7484088377740479,0.026459511268696348,-0.7009481434173195,-0.4897536688679842,-0.24964235129773252,0.2860860242537844,1.0
75%,0.9041863207547169,0.9041863207547169,-0.7312993655697783,0.03158074007757167,-0.6350042086311061,-0.46284769538021164,-0.13330678935527457,0.416502624671916,1.0
max,0.917550058892815,0.917550058892815,-0.7216302367941712,0.04675776245958641,-0.5585452395032526,-0.4403536034587028,-0.04702877581552947,0.7150000000000001,1.0
