,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.823838849157772,0.823838849157772,-0.5100102175692294,0.16363423604239075,-0.49647595171608944,-0.3412702283091461,-0.32342074281299543,0.4724240027705073,1.0
std,0.007708705577149864,0.007708705577149864,0.02563375332067188,0.03166302591029308,0.07135159921665277,0.03456782096097713,0.05857491612374493,0.10960413692108083,0.0
min,0.8141711229946524,0.8141711229946524,-0.5557445016681242,0.10833428866215751,-0.5953395851094061,-0.38223985612418754,-0.4144185823042206,0.26386946386946386,1.0
25%,0.8168449197860963,0.8168449197860963,-0.52651713890381,0.14213270815475829,-0.5458118172790467,-0.3642621777320881,-0.35699304419550654,0.40649209316972473,1.0
50%,0.8239625167336011,0.8239625167336011,-0.5092255470559417,0.16329679281399148,-0.513894199854654,-0.35089630204722283,-0.3248188557803019,0.47078954456690086,1.0
75%,0.8310487941069089,0.8310487941069089,-0.489310710293026,0.18018189863551223,-0.4437859065642734,-0.3235402681972326,-0.3051503236479617,0.5210592348827643,1.0
max,0.8340026773761714,0.8340026773761714,-0.474744407328677,0.21425343164473595,-0.37941501103752756,-0.26442724928449246,-0.2023946494059871,0.6378933566433567,1.0
