,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,6.0,6.0,10.0,10.0,10.0
mean,0.9202787979010516,0.9202787979010516,-0.821768496639066,0.0,-0.9395508259684853,-0.6399214993096091,-0.5848549731842718,-0.08798217507154893,1.0
std,0.00978636258669633,0.00978636258669633,0.024277024735126735,0.0,0.02011181672383254,0.03640617429523066,0.03212586262536479,0.016959451142209845,0.0
min,0.9064171122994652,0.9064171122994652,-0.8625498007968128,0.0,-0.9668367346938775,-0.684014053579271,-0.625938611286445,-0.11,1.0
25%,0.9117647058823529,0.9117647058823529,-0.8383771445401664,0.0,-0.9533104780128274,-0.671510846267139,-0.6126504554857073,-0.1006827731092437,1.0
50%,0.92173596346169,0.92173596346169,-0.8156442888431672,0.0,-0.9364085431481239,-0.6322271386741642,-0.5868386907410839,-0.09022856156761935,1.0
75%,0.9287390202521315,0.9287390202521315,-0.8053341610455839,0.0,-0.9279469594916385,-0.610266264339036,-0.5565368294784954,-0.07876526927484982,1.0
max,0.9331550802139037,0.9331550802139037,-0.7924901185770751,0.0,-0.9135802469135802,-0.6035092765712642,-0.5395864961460819,-0.05665024630541872,1.0
