,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8433252680041671,0.8433252680041671,-0.00309419556602637,0.9910437153143883,-0.04434353756835698,-0.014897087142214906,0.019950105234374675,0.006261281638615962,1.0
std,0.01823935665911546,0.01823935665911546,0.06681573969880567,0.1681584586424223,0.09199712265813223,0.07354047101774457,0.07617444671529938,0.10184189706813629,0.0
min,0.8076923076923077,0.8076923076923077,-0.09637551990493165,0.7649956534337874,-0.22043551088777225,-0.13710509574586058,-0.08642243298601839,-0.1483030004918839,1.0
25%,0.8373802802701885,0.8373802802701885,-0.06826882813636673,0.8221184359715803,-0.0838682598453869,-0.05564724560690487,-0.03434240087602239,-0.06283311071959129,1.0
50%,0.8489010989010989,0.8489010989010989,0.008538544486256905,1.021146353764103,-0.04064853556485354,-0.01253857616170619,0.017381631206102213,-0.006071039874256473,1.0
75%,0.8552449843734247,0.8552449843734247,0.050058440780295727,1.1243503518321514,0.030814479638009068,0.04362932015538721,0.07000719268250695,0.09416190572449094,1.0
max,0.8623853211009175,0.8623853211009175,0.08143712574850298,1.21139896373057,0.06114718614718617,0.0769870155420028,0.1260293693488762,0.15728900255754477,1.0
