,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0
mean,0.8477827655310621,0.8477827655310621,-0.06254059092345135,0.8606190356599276,0.032054913457377925,-0.005594563877133963,-0.10663492763107582,0.03238180853492702,1.0
std,0.013732235910183637,0.013732235910183637,0.18655439677219693,0.4531235685589057,0.37912546738569364,0.17293944856644866,0.1792901039143375,0.3633945321718384,0.0
min,0.8256513026052105,0.8256513026052105,-0.41851106639839036,0.0,-0.8165137614678899,-0.46202032159416,-0.5287081339712919,-0.17370892018779344,1.0
25%,0.8397595190380761,0.8397595190380761,-0.17828282828282827,0.5837657524091919,0.1751152073732719,0.024626245847176084,-0.08436725543830063,-0.14302884615384615,1.0
50%,0.8446893787575149,0.8446893787575149,-0.0023265105415206933,0.9878998316498318,0.18867924528301883,0.04807627744577988,-0.032246278694543495,-0.1265031265031265,1.0
75%,0.8574278557114228,0.8574278557114228,0.09563414972594184,1.2472720746590094,0.22983870967741937,0.07151960784313724,-0.006495070883427573,-0.10808091382840126,1.0
max,0.8677354709418837,0.8677354709418837,0.11971830985915494,1.3148148148148149,0.25560538116591924,0.08583188766325159,0.017705523923683922,0.8755980861244019,1.0
