,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.9374999999999998,0.9374999999999998,-0.8395154642939738,0.1023019107286709,-0.22526539292234377,-0.39912662729501996,-0.2837534822211331,0.12706371235673877,1.0
std,0.005275730597114758,0.005275730597114758,0.014507348032962004,0.007503473673580086,0.04792574856911848,0.05326099749353288,0.05996490471707374,0.04141345638306485,0.0
min,0.931,0.931,-0.8598857581721309,0.08931930252656194,-0.29045168667810184,-0.4675233309642564,-0.40511490458675214,0.07796460176991149,1.0
25%,0.93325,0.93325,-0.8463467070895039,0.09740985416201761,-0.2562286252003386,-0.4466560490636959,-0.3051206595057805,0.0907415621291905,1.0
50%,0.937,0.937,-0.8419370808849362,0.10400270395153974,-0.24465680135122392,-0.4016983062471674,-0.2757066633080114,0.1294143449339632,1.0
75%,0.942,0.942,-0.8333034050069461,0.10758670993632156,-0.1862194119958561,-0.3484768964241245,-0.2422458821491848,0.1608491248179701,1.0
max,0.946,0.946,-0.8099632398529594,0.11399217649272343,-0.1445071179156594,-0.3312576223504149,-0.21212545933627378,0.17834575120248986,1.0
