,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8444255133245958,0.8444255133245958,-0.019931519933941544,0.9490438607798358,-0.0389120628866624,-0.022319745744975545,0.021594354060486255,-0.012693538693438828,1.0
std,0.019710974217441866,0.019710974217441866,0.06328657857057997,0.160131952265221,0.10349681714361501,0.06744228936525913,0.0639965225682865,0.08391712483398957,0.0
min,0.8058608058608059,0.8058608058608059,-0.10202020202020201,0.7405714285714285,-0.2365274649107607,-0.14568870716595694,-0.047886472042936695,-0.15201958384332925,1.0
25%,0.8378389958665189,0.8378389958665189,-0.08127184624501864,0.7950206347929049,-0.08022958417856885,-0.06134653215506938,-0.025767425208014137,-0.06236223271321631,1.0
50%,0.8516483516483516,0.8516483516483516,-0.004837873895492006,0.9891717534464617,-0.040532724505327244,-0.007528863651993671,0.004700396830383785,-0.028928694509228768,1.0
75%,0.8578645360755452,0.8578645360755452,0.011889653428592925,1.0297564986231378,0.018314479638009057,0.03261208238977622,0.06007214636792414,0.03862560252527407,1.0
max,0.8642201834862385,0.8642201834862385,0.07944111776447105,1.2051546391752577,0.14069264069264076,0.05229388588939154,0.12600979192166462,0.11438389788905251,1.0
