,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.7548,0.7548,-0.2516515295309316,0.5592897523054754,-0.10301688472497497,-0.12904627748328673,-0.13325787229548186,0.10680769533100794,1.0
std,0.01331498737847277,0.01331498737847277,0.02948403079323987,0.04115327483996849,0.04180180423822366,0.0353249400174168,0.030384604638070474,0.0607233124751888,0.0
min,0.728,0.728,-0.28186415722424935,0.5162601626016261,-0.15598972177919546,-0.16357234608679697,-0.18328993741974248,0.01411700828016832,1.0
25%,0.7484999999999999,0.7484999999999999,-0.2706189160938509,0.5315185302613965,-0.13622937104065858,-0.15420402217752224,-0.1525533499267849,0.050256373417620494,1.0
50%,0.7565,0.7565,-0.26460110194640085,0.5463172129052574,-0.12058616393087385,-0.1470383824665108,-0.14200315044295178,0.13259676194729203,1.0
75%,0.7595000000000001,0.7595000000000001,-0.23982959414423527,0.5788261672728962,-0.06324164255658452,-0.10041190290870415,-0.10315887988501246,0.14952702702702703,1.0
max,0.774,0.774,-0.18870717383303198,0.6508563899868247,-0.03867999812233025,-0.06106350636306855,-0.0948921801117592,0.18726591760299627,1.0
