,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.6646,0.6646,-0.489113850337482,0.000791412008207322,-0.6047989551651245,-0.4648128074505909,-0.38554829922631045,-0.17587148629247978,1.0
std,0.011157458890306927,0.011157458890306927,0.015554428124084741,0.0016704733538403535,0.01996479747161133,0.014736750908882917,0.1522580911871059,0.3241229644328825,0.0
min,0.643,0.643,-0.515425465925508,0.0,-0.631768953068592,-0.49040479760119937,-0.45082864056053185,-0.3282442748091603,1.0
25%,0.66125,0.66125,-0.4982393505159681,0.0,-0.6152710495963091,-0.47042429833657046,-0.4436082496543041,-0.2747842586816386,1.0
50%,0.663,0.663,-0.49082404491761217,0.0,-0.6064284083124001,-0.4657467298679629,-0.43237753385448674,-0.2698744769874477,1.0
75%,0.6707500000000001,0.6707500000000001,-0.4778281961733425,0.0,-0.5954903147699758,-0.4514422091332097,-0.4166952121366864,-0.2621737937656459,1.0
max,0.68,0.68,-0.46487603305785125,0.004131720230584625,-0.5671641791044776,-0.448457711442786,0.04595211163344162,0.7430830039525691,1.0
