accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,classifier,seed
0.872,0.872,-0.5849817553293644,0.23211697233251402,-0.15245346869712362,-0.21677399803015385,-0.22791483153078257,0.14318809587454334,DT,1
0.869,0.869,-0.5300421201684806,0.2974838566020931,-0.14664082687338498,-0.16624735103384994,-0.2397903180305336,0.22156084656084654,DT,1
0.842,0.842,-0.5436422154969496,0.2897577507217271,-0.09755118426334797,-0.22651623384290392,-0.2770408885116016,0.1604414261460102,DT,1
0.867,0.867,-0.5618334795023046,0.2782830569159225,-0.11787454969273159,-0.2184509955889001,-0.20314658227430815,0.14285714285714285,DT,1
0.851,0.851,-0.5436422154969496,0.2897577507217271,-0.07564565980407556,-0.2003643060028359,-0.28303126768534237,0.17996604414261458,DT,1
0.869,0.869,-0.5994618489333077,0.2424555224968122,-0.1278825995807128,-0.2378683428748219,-0.23439345549972848,0.17021388822955402,DT,1
0.873,0.873,-0.6202562040027373,0.239836381560555,-0.18292775569117015,-0.26894023424180213,-0.22910817188957794,0.15724310776942357,DT,1
0.861,0.861,-0.6216346153846153,0.2135036496350365,-0.16326335877862586,-0.27854112820821053,-0.21904269653749492,0.1329188068847436,DT,1
0.856,0.856,-0.5978220863804388,0.24469536912548143,-0.14709336465061662,-0.27390627052293404,-0.252117351795087,0.10684273709483794,DT,1
0.828,0.828,-0.5461767388278213,0.27273017800645555,-0.1729148232664276,-0.25751568069919495,-0.28502061967782044,0.16495033026473188,DT,1
0.908,0.908,-0.6249279815632802,0.20235322956244636,-0.17337845459672874,-0.2146022935460732,-0.12460423804098697,0.047803118154876936,LR,1
0.918,0.918,-0.5760783043132173,0.25035005075085237,-0.13732359371894254,-0.15308329363939577,-0.119542233582139,0.07567640692640693,LR,1
0.909,0.909,-0.5975164528990728,0.24376823929961092,-0.08590927338418297,-0.1943360983676708,-0.12040302475499146,0.007260101010101008,LR,1
0.905,0.905,-0.5970581992783658,0.23910524999617236,-0.21553824962915868,-0.21688938308737998,-0.10565664444632433,0.121752849332209,LR,1
0.905,0.905,-0.6035772045283503,0.24005564403943466,-0.11933574309811923,-0.19770481890804087,-0.14475466382248395,0.07518240456804483,LR,1
0.906,0.906,-0.6043788839771926,0.22202292594425202,-0.12722371967654977,-0.1852517285490647,-0.15687514311580106,0.10590485297633277,LR,1
0.907,0.907,-0.6447080386907262,0.2310677294639874,-0.1644425312096427,-0.2427240032852594,-0.13416665675086262,0.10411431387041142,LR,1
0.906,0.906,-0.6637820512820513,0.1801266825019794,-0.21924300254452922,-0.27303685560297325,-0.08537607780988812,0.0502544960977265,LR,1
0.894,0.894,-0.6454929509849419,0.19476384397333013,-0.23842728518301037,-0.2775802255184546,-0.1272251975865648,0.015407236926224269,LR,1
0.877,0.877,-0.6120417926686826,0.23570900517492857,-0.20982163647371121,-0.27287473330873985,-0.1648265466432321,0.07886101407854347,LR,1
0.9,0.9,-0.6135010562704052,0.19259446480475167,-0.22227862380146646,-0.21712255358703852,-0.14457964079768204,0.06894070236039149,KN,1
0.903,0.903,-0.5701302805211221,0.24234676249049822,-0.17434406678592718,-0.17032770738807795,-0.1463953789781507,0.09283819628647216,KN,1
0.889,0.889,-0.572264655489904,0.2421781401414349,-0.09052589321557603,-0.19209895373791278,-0.16419103904533586,0.011015131311960108,KN,1
0.906,0.906,-0.5733307703705484,0.23291201637403086,-0.1948506039415131,-0.18464281609505034,-0.12102059145563074,0.08630347799322868,KN,1
0.894,0.894,-0.5724888312436951,0.24599031982537722,-0.1298391743936298,-0.1727574492719651,-0.18641731699337605,0.11161924119241193,KN,1
0.891,0.891,-0.6179447754500609,0.20456044862279402,-0.18041329739442957,-0.23514412013350214,-0.16885722651307628,0.09671769590036326,KN,1
0.903,0.903,-0.6515673586015631,0.2014625605108662,-0.21328910384644606,-0.26159726471565703,-0.13022481066053107,0.04824561403508773,KN,1
0.889,0.889,-0.6434294871794872,0.17386831275720163,-0.24611959287531804,-0.2786011350203362,-0.13498627235313107,0.0630579297245964,KN,1
0.881,0.881,-0.6110799955193548,0.20349995306975918,-0.18809943237424154,-0.2487095851590926,-0.16764527750722436,0.0015363548311679576,KN,1
0.862,0.862,-0.5902094433510936,0.23242191564184198,-0.1992735062636799,-0.26554173266149816,-0.19656545707932585,0.06491238283751528,KN,1
