,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.8723000000000001,0.8723000000000001,-0.4447825252031515,0.33259010563858643,-0.13246337637139788,-0.15908720548678373,-0.09986739572498197,0.03122092217478798,1.0
std,0.01443029221233353,0.01443029221233353,0.03424799556986548,0.02815513183127033,0.0438264047085679,0.03511679863971811,0.02117193385225038,0.029471980155283656,0.0
min,0.851,0.851,-0.5104166666666666,0.2708333333333333,-0.21051530868328594,-0.23212422360248447,-0.1367039721075688,0.0047399570523228435,1.0
25%,0.859,0.859,-0.4536410701860374,0.3232624144056746,-0.1436895152655595,-0.17703941530139417,-0.11191665061044903,0.013250602543728892,1.0
50%,0.8745,0.8745,-0.4424747031860328,0.3293373096194912,-0.1330899140317892,-0.15569074833401167,-0.10115577575016561,0.022110547429318388,1.0
75%,0.8825000000000001,0.8825000000000001,-0.4235139829172836,0.35431877256615174,-0.12791446706887885,-0.1441445367623324,-0.08213728538504673,0.03803750204525073,1.0
max,0.894,0.894,-0.402558440935055,0.3685434044827886,-0.04211448867567691,-0.10913192926781506,-0.06986477961940646,0.10269183168316832,1.0
