accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
0.8333333333333334,0.8333333333333334,-0.5339366515837103,0.3017751479289941,-0.5,-0.25,0.07500000000000001,0.0,0,0,1
0.9333333333333333,0.9333333333333333,-0.45000000000000007,0.43749999999999994,0.0,-0.25,0.125,-0.25,0,0,1
0.8666666666666667,0.8666666666666667,-0.4,0.25,-0.4888888888888888,-0.2444444444444444,0.043956043956043966,0.0,0,0,1
0.9333333333333333,0.9333333333333333,-0.5158371040723981,0.3736263736263737,-0.33333333333333337,-0.16666666666666669,0.1111111111111111,0.0,0,0,1
0.8333333333333334,0.8333333333333334,-0.3333333333333333,0.5,-0.4,-0.18333333333333335,-0.05000000000000002,0.30000000000000004,0,0,1
0.8666666666666667,0.8666666666666667,-0.32057416267942584,0.49624060150375937,-0.4,-0.2,0.15384615384615385,0.0,0,0,1
0.9,0.9,-0.1770334928229665,0.6754385964912281,-0.0793650793650793,-0.03968253968253965,-0.016666666666666677,0.0,0,0,1
0.8,0.8,-0.5550239234449761,0.3216374269005848,-0.5,-0.41666666666666663,0.23412698412698416,-0.1111111111111111,0,0,1
0.9333333333333333,0.9333333333333333,-0.6666666666666667,0.16666666666666666,-0.33333333333333337,-0.2916666666666667,0.08012820512820515,-0.08333333333333333,0,0,1
0.8666666666666667,0.8666666666666667,-0.4732142857142857,0.39772727272727276,-0.29166666666666663,-0.14583333333333331,-0.030303030303030304,0.0,0,0,1
