accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
0.640625,0.640625,-0.42647058823529416,0.4678899082568807,-0.4890034364261168,-0.3855273592386994,-0.10665987088005435,0.23765836609873303,0,0,1
0.7291666666666666,0.7291666666666666,-0.4421292992721564,0.40911691779515547,-0.4799827808867843,-0.350797251249253,-0.08588815588540713,0.2224299065420561,0,0,1
0.734375,0.734375,-0.27777777777777773,0.6000000000000001,-0.2617521367521367,-0.19932844932844931,-0.05162337662337663,0.1,0,0,1
0.7239583333333334,0.7239583333333334,-0.14810882548108828,0.7970909090909091,-0.07828282828282829,-0.07227981570086833,-0.15943081668625145,0.16375,0,0,1
0.71875,0.71875,-0.3616901408450704,0.5372972972972974,-0.4357142857142857,-0.28603896103896104,0.0014487711929313807,0.19176319176319173,0,0,1
0.734375,0.734375,-0.305468652233763,0.5916694546671127,-0.21773049645390075,-0.2230762334056775,-0.10666791969312978,0.11262282690854117,0,0,1
0.765625,0.765625,-0.31890838206627686,0.5976389572060993,-0.27,-0.19169642857142857,-0.13965163427780253,0.2578746971270336,0,0,1
0.703125,0.703125,-0.19725274725274733,0.7318894697535473,-0.2914851485148514,-0.10443203294688441,-0.14101176419137584,0.3349514563106796,0,0,1
0.7708333333333334,0.7708333333333334,-0.19162640901771344,0.7301587301587301,-0.0359848484848484,-0.052218614718614664,-0.19501569858712714,0.19387755102040818,0,0,1
0.7083333333333334,0.7083333333333334,-0.4411764705882353,0.4594594594594595,-0.48579007199696855,-0.383635776739225,0.035212355212355245,0.1467181467181467,0,0,1
