accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
0.7915831663326653,0.7915831663326653,-0.6293195582472391,0.10193187595322827,-0.38983050847457623,-0.38832763895402067,-0.25122958299114884,0.3187595322826639,0,0,1
0.7835671342685371,0.7835671342685371,-0.5665836101882613,0.08638392857142857,-0.3758320532514081,-0.360560229938097,-0.14656815556411248,0.07499999999999996,0,0,1
0.811623246492986,0.811623246492986,-0.54002956322716,0.12161166479233722,-0.41178521617852165,-0.33062601022204374,-0.19869643579317672,0.19657676348547717,0,0,1
0.8036072144288577,0.8036072144288577,-0.4911535246586793,0.215771326882438,-0.27203791469194316,-0.2714356240126382,-0.1404542713211296,0.157201646090535,0,0,1
0.8176352705410822,0.8176352705410822,-0.588498950982262,0.11272465851905104,-0.35604719764011805,-0.355734442193553,0.0541181041181041,-0.22692307692307692,0,0,1
0.7975951903807615,0.7975951903807615,-0.5741353383458647,0.12229885057471264,-0.4409937888198758,-0.38934236021425883,-0.07335915375645512,0.016283524904214558,0,0,1
0.8196392785571143,0.8196392785571143,-0.5224021779254338,0.20405652418447695,-0.32659574468085106,-0.2994534787477482,-0.10147594817061326,0.07769028871391076,0,0,1
0.8016032064128257,0.8016032064128257,-0.5888553419142962,0.12746252256494783,-0.4671507607192254,-0.399905346689579,-0.14107026685923207,0.15237226277372262,0,0,1
0.7955911823647295,0.7955911823647295,-0.46499879139473055,0.2582610372084056,-0.2138566279535442,-0.2154134713216568,-0.277724891944264,0.36961181233627055,0,0,1
0.7855711422845691,0.7855711422845691,-0.549961963574529,0.14599402404280454,-0.5661407766990292,-0.4380265089615758,-0.18063842384211348,0.28122690317812266,0,0,1
