,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.7529266789895256,0.7529266789895256,-0.16932580943075495,0.7521994142426783,-0.11815162163455603,-0.10877221257549555,-0.05088298553535353,0.06570679241446205,0.0,0.0,1.0
std,0.006064827710097937,0.006064827710097937,0.04324518574345606,0.06030340815469731,0.03002437466754917,0.046201764660330595,0.033876975415087364,0.04802896063894123,0.0,0.0,0.0
min,0.7436845348120764,0.7436845348120764,-0.25759528966765816,0.6344972319301373,-0.1809349479019995,-0.19785482769757679,-0.11396360294192273,0.012215939400405412,0.0,0.0,1.0
25%,0.7496919285274184,0.7496919285274184,-0.18783160716779201,0.7218376013834891,-0.12969473006478074,-0.1329542994268594,-0.07075953991066908,0.020868026787680335,0.0,0.0,1.0
50%,0.7523105360443623,0.7523105360443623,-0.1610139439422752,0.7624530018047389,-0.11534395553881438,-0.11392516326829516,-0.049537966171893016,0.06428069043640375,0.0,0.0,1.0
75%,0.7549291435613061,0.7549291435613061,-0.1483102131337626,0.7839626539980474,-0.10078983738344174,-0.08522003551625411,-0.02088182732944164,0.09533857146607488,0.0,0.0,1.0
max,0.7652495378927912,0.7652495378927912,-0.09830398274645369,0.8535173326401854,-0.07077625570776258,-0.028996502238117755,-0.010762570897938861,0.14602686952917368,0.0,0.0,1.0
