accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
0.6111111111111112,0.6111111111111112,-0.7272727272727273,0.2727272727272727,-1.0,-0.8125,-0.24107142857142855,0.8571428571428572,0,0,1
0.5,0.5,-0.6923076923076923,0.3076923076923077,-0.6666666666666667,-0.6904761904761905,0.2722222222222222,-0.09999999999999998,0,0,1
0.5,0.5,-0.15584415584415584,0.6363636363636364,-0.15000000000000002,-0.18214285714285716,-0.35416666666666663,0.3333333333333333,0,0,1
0.6111111111111112,0.6111111111111112,-0.9166666666666666,0.08333333333333333,-0.8333333333333334,-0.9166666666666667,0.3939393939393939,-0.3333333333333333,0,0,1
0.6111111111111112,0.6111111111111112,-0.6666666666666667,0.3333333333333333,-0.5,-0.6666666666666667,0.3125,-0.25,0,0,1
0.6666666666666666,0.6666666666666666,-0.9,0.1,-0.8,-0.9,0.3472222222222222,-0.25,0,0,1
0.6666666666666666,0.6666666666666666,-0.75,0.25,-0.5,-0.75,0.41666666666666663,-0.5,0,0,1
0.6666666666666666,0.6666666666666666,-1.0,0.0,-1.0,-1.0,-0.16666666666666669,-0.4444444444444444,0,0,1
0.7777777777777778,0.7777777777777778,-0.7272727272727273,0.2727272727272727,-0.4,-0.7,0.26785714285714285,-0.2857142857142857,0,0,1
0.5555555555555556,0.5555555555555556,-0.8,0.2,-1.0,-0.8571428571428572,-0.125,0.625,0,0,1
