accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
0.9487984817299725,0.9487984817299725,-0.05164797267584617,0.08835736419066215,-0.23650060917564003,-0.1277250494633364,-0.006643067105456948,-0.0320033313143549,0,0,1
0.948878672048328,0.948878672048328,-0.04971426836555976,0.1063611689948805,-0.22355790778568005,-0.1195860207727179,-0.057434680630470775,0.0666739130434783,0,0,1
0.9488653069952687,0.9488653069952687,-0.05042331809882181,0.09893981212681399,-0.22670711230447588,-0.12244299633957649,-0.035638951080109685,0.025103346343040567,0,0,1
0.9496137499665873,0.9496137499665873,-0.052807497544537056,0.09362673188235629,-0.24856272118358466,-0.13425954951196487,-0.04178028940486624,0.040309361912910346,0,0,1
0.9491058779503354,0.9491058779503354,-0.047999762342412086,0.11933428887190412,-0.22604561150615962,-0.12054510139440046,-0.07822090402496704,0.11102722387529423,0,0,1
0.9495469247012911,0.9495469247012911,-0.04730375349506674,0.11107741460532305,-0.21880062677608692,-0.11664290479399289,-0.06298990823135578,0.07855026151556121,0,0,1
0.9469407393547352,0.9469407393547352,-0.05207063145019349,0.09693561806087779,-0.24455965517052655,-0.13169612758980775,-0.05106677568991384,0.056554344565543424,0,0,1
0.9488920371013873,0.9488920371013873,-0.05002876462720346,0.10423259417119157,-0.2200035413044878,-0.11837486077031587,-0.026389522680090594,0.006113683246482482,0,0,1
0.9480366737055946,0.9480366737055946,-0.05147628672792242,0.10327213279815999,-0.23668244118530274,-0.12785251772059228,-0.04208344674137805,0.04025733748212934,0,0,1
0.9493999091176392,0.9493999091176392,-0.04878754815691727,0.10167001967693794,-0.23499603389784934,-0.12553834756710672,-0.05766844830079925,0.06969992168548123,0,0,1
