,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.6545454545454547,0.6545454545454547,0.020072792274804664,1.2996496142316576,-0.02666666666666665,0.05989545177045178,-0.278754995004995,0.3979365079365079,0.0,0.0,1.0
std,0.05749595745760689,0.05749595745760689,0.14145889281660717,0.887327581100211,0.26729225823348013,0.1399603019877776,0.1512807129296989,0.28592026672658605,0.0,0.0,0.0
min,0.5757575757575758,0.5757575757575758,-0.19047619047619047,0.42857142857142855,-0.40476190476190477,-0.13571428571428573,-0.4833333333333334,-0.08333333333333334,0.0,0.0,1.0
25%,0.6060606060606061,0.6060606060606061,-0.08055555555555556,0.7125350140056023,-0.12777777777777777,-0.039186507936507936,-0.3660037878787879,0.33749999999999997,0.0,0.0,1.0
50%,0.6515151515151515,0.6515151515151515,0.006578947368421045,1.031954887218045,-0.06845238095238096,0.0555059523809524,-0.2841880341880342,0.37777777777777777,0.0,0.0,1.0
75%,0.696969696969697,0.696969696969697,0.15476190476190477,1.6607142857142856,0.16428571428571437,0.1761904761904762,-0.2071428571428571,0.6142857142857142,0.0,0.0,1.0
max,0.7575757575757576,0.7575757575757576,0.20238095238095238,3.4285714285714284,0.380952380952381,0.24409340659340664,-0.04166666666666666,0.8333333333333334,0.0,0.0,1.0
