accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
0.7258522727272727,0.7258522727272727,-0.10322997416020671,0.6320515772507483,-0.011988011988012026,-0.05493372350178016,-0.023119118148377207,-0.06476221392631065,0,0,1
0.7400568181818182,0.7400568181818182,-0.02123435267911189,0.914330370225652,0.056338028169014065,0.026977645740316872,-0.09145208240035826,0.07413793103448274,0,0,1
0.71875,0.71875,-0.0926916221033868,0.6426116838487973,-0.07694415895854745,-0.07729004638234702,0.012045513755290824,-0.06204311152764763,0,0,1
0.7372159090909091,0.7372159090909091,-0.09935058641077835,0.6700466763238371,-0.08383695512408379,-0.05976279610656791,-0.08998135224700844,0.0962637947081505,0,0,1
0.7045454545454546,0.7045454545454546,-0.041210727100426836,0.8329173781689216,-0.057385398981324276,-0.01841047277630979,-0.14563725925664708,0.20268542199488493,0,0,1
0.7102272727272727,0.7102272727272727,-0.023053080201472287,0.916432584269663,-0.01646903820816864,-0.0007432299054780517,-0.09282320384294071,0.12152777777777773,0,0,1
0.71875,0.71875,-0.03983912520291061,0.8655894934742923,0.027879677182685192,0.00861297558375669,-0.11181724785526302,0.10875106202209006,0,0,1
0.7230113636363636,0.7230113636363636,0.008912713533761746,1.0380715911442169,0.0435897435897436,0.03670850083893563,-0.09608537818913938,0.11579395487441468,0,0,1
0.7059659090909091,0.7059659090909091,-0.02258856201763168,0.9121837926056117,0.048829473419946035,0.014111103061391642,-0.06648361771405517,0.03263777421080788,0,0,1
0.7159090909090909,0.7159090909090909,-0.07396614943784754,0.7527798068338609,-0.06211046636578549,-0.051809599589433056,-0.056659978404164424,0.05729729729729732,0,0,1
