accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
0.8960551033187226,0.8960551033187226,-0.04976560811771491,0.9488550073350639,-0.02243827455456593,-0.08286589263975919,-0.02868677499333283,0.03207593093904659,0,0,1
0.8994990607388854,0.8994990607388854,-0.0387363975548114,0.9600646991206936,-0.01857327629866845,-0.06919447225071673,-0.03954335806434797,0.024725460877892763,0,0,1
0.8985597996242956,0.8985597996242956,-0.047995554425438125,0.9507214793957925,-0.024248308884758596,-0.07458547869980503,-0.053200050577551616,0.04264782428807219,0,0,1
0.8969943644333125,0.8969943644333125,-0.03339683356405765,0.965719345677848,-0.010817335064106981,-0.05323786600533592,-0.07175277250065137,0.043806649049479424,0,0,1
0.8966812773951158,0.8966812773951158,-0.04413588475770358,0.9546889563727111,-0.01870401223304896,-0.08564882341914448,-0.028686385326627706,0.02041806101168825,0,0,1
0.8901064495929869,0.8901064495929869,-0.05048702596640031,0.9482650293327823,-0.02387400280846852,-0.07748413033164486,-0.10140669631067037,0.05934989516803002,0,0,1
0.902316844082655,0.902316844082655,-0.05277119549859921,0.9460273984183141,-0.02546577634156455,-0.07109931292773147,0.014313335087606571,0.04901019960517658,0,0,1
0.897307451471509,0.897307451471509,-0.05430869921616144,0.9443065932411621,-0.016094880212108142,-0.10613806804742826,-0.10103388838391694,0.035183813273700904,0,0,1
0.8994990607388854,0.8994990607388854,-0.051740432001122105,0.9467184600811923,-0.02383635726721567,-0.08040860839164321,-0.04115141533702202,0.0381851836152205,0,0,1
0.9004383218534753,0.9004383218534753,-0.0390103211229903,0.9599367454307697,-0.012370199653002567,-0.05718288253160103,-0.08133488798330726,0.05222974145410375,0,0,1
