,accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,FN-TN,FP-TP,seed
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.7218381843381843,0.7218381843381843,0.008001541781767641,1.0087596097245466,0.007956788187218632,0.007774338902898093,0.006498444219185234,-0.008622499929189875,1.0,0.0,1.0
std,0.002984468563984025,0.002984468563984025,0.006522515980612016,0.007166806594349049,0.006715614218911681,0.007699382416655796,0.02047531773370738,0.005867391777251554,0.0,0.0,0.0
min,0.716042966042966,0.716042966042966,-0.0029725735753021176,0.9967841877977677,-0.004033164480538032,-0.0034302517290405454,-0.044925977698314856,-0.015652023007417804,1.0,0.0,1.0
25%,0.7199627512127512,0.7199627512127512,0.0050159536445755215,1.0054614712633196,0.004514648623817397,0.004770975838940816,0.002721698132034475,-0.013258039624668622,1.0,0.0,1.0
50%,0.7224532224532225,0.7224532224532225,0.0059030377372941145,1.006432534039904,0.006596732344663125,0.006938093468053547,0.012449418621591046,-0.00915473378693217,1.0,0.0,1.0
75%,0.7237092862092862,0.7237092862092862,0.012380868231547854,1.013526949387601,0.013648232780623604,0.012597478212263785,0.016050255072517963,-0.006354417135769334,1.0,0.0,1.0
max,0.7257449757449758,0.7257449757449758,0.01899487871768668,1.0208995684732416,0.016924318848532183,0.021959241285624653,0.029348040505320083,0.0034239618691215556,1.0,0.0,1.0
