complete_name,F1v,N1,N2,N3,N4,LSC,T1,T2,T3,T4,C1,C2,L1,L2,L3,density,clustering_coefficient,hubs,Cluster
academic_ge,-0.059171657922406695,-0.11040489642184559,-0.021650531959314823,-0.09157250470809797,-0.006120527306967993,-0.01092643353158762,0.0,0.058145009416195825,0.01506591337099808,-0.10526315789473684,-0.08604576772899769,-0.2029546838894313,0.050520420910002084,-0.01883239171374762,0.038841807909604564,0.0018362900715841457,0.10503401360544218,-0.0071428571428570065,0
adult_Sex,1.0839390398079882e-07,0.1683324663100631,0.09023261127164933,0.1356548996452285,-0.03771554680931999,0.005501299760703349,-0.1376964883846653,-0.00042350964963860005,-0.00042097506529649995,-0.08333333333333326,-0.38540356510875257,-0.501254993546633,-0.091841311300219,0.1050157116921679,0.1974024835114644,0.0,0.0,0.0,1
arrhythmia_sex,-1.2713141858305344e-08,-0.09550353028613912,-0.005989017735080315,-0.056020066889632125,0.003483835005574032,-0.00593653166389585,0.0,-0.28799702712746167,-0.0789669267930137,0.0,0.0737295893529664,0.1758435554293353,-0.051632655325311694,0.0563916759568933,-0.128623188405797,-0.10290270936182772,-0.020678756625187797,0.0011726353807547385,2
catalunya_NatG,0.0072794310474711,0.026881720430107503,-0.000988159602328842,-0.006896926251764912,0.024057782122298144,0.0015383569735621938,0.008308895405669703,-0.0645704355381775,-0.04230476811121969,0.024390243902438935,0.0933806305693391,0.22385962985857952,0.03365742620447776,0.017812533941566178,-0.21499945693494082,0.019013266766323644,0.04322878226644633,0.0035068874004801076,2
catalunya_foreigner,0.005936411150873101,-0.0037245450981296946,-0.003985856767268869,-0.03841585756786048,-0.0033440188187542352,0.0004896814010032502,0.007155047162196615,-0.045622794677244505,-0.0322697816009779,0.0,0.09083676937451951,0.2167402130874754,0.039215696128098165,0.010222319595950324,-0.1617813242314522,0.01606202573944515,0.03598180247901239,0.002629091338768763,2
catalunya_sex,-0.009924379252724502,-0.1670013386880857,-0.012679503235883793,-0.10419455600178501,-0.014279339580544614,-0.031788864018720386,0.0053547523427039945,0.3247434181169121,0.20191878625613568,-0.07317073170731703,0.2418330536390217,0.44326949012072203,0.18435402599161654,-0.2232262382864792,0.13609995537706376,-0.06207633263077672,-0.08700734183340197,-0.016839526962379225,2
compas_race,0.023314618172762397,0.024685844369311205,-0.04913879461503945,-0.08668636106649297,0.035478525241406156,-7.983978702486016e-05,0.0165112456520681,0.0011238538121394002,0.0009633032675480998,0.0,0.0673414495771676,0.1599196069874539,-0.012083755138125762,-0.023266948978025392,-0.04685694602012125,-0.010211013308309758,0.01591203279040504,-0.00016055054459140905,2
compas_sex,0.0153547292719035,0.07618957136857257,-0.2714950689624979,0.021028137166258898,0.011176257925660682,-0.002013533959623337,0.055042447946939,0.0051413024587219,0.0044068306789046,0.0,0.0091561976574197,0.024977607841062902,-0.0017669626996258403,-0.006145720023285728,-0.004436748528144574,-0.013718449716229264,-0.003956790996622883,-0.0007344717798176692,0
credit_sex,-3.358553261233067e-06,0.03557615646505391,0.015178143708124092,0.022220553688893807,0.005825203876992036,-0.00016419489761665407,0.014790271552132195,0.0003799731421698999,0.00029228703243839996,0.0,-0.05951703517481591,-0.08616934035728868,-0.018413227302001345,0.0234964244489696,0.0068930731450085325,0.0,0.0,0.0,0
crime_race,0.0007555007473289,0.23792406302696237,0.0732881999797606,0.1787758457084489,0.045691223489450206,0.07709605979671841,0.0,-0.166959801272869,-0.0448798148114571,0.0625,-0.4785618247395609,-0.7077543039803471,-0.13726616910630185,0.10622200866711391,0.1294340386695919,-0.055806883348633596,-0.0704219397749915,0.0017562121820859922,1
