F1v,N1,N2,N3,N4,LSC,T1,T2,T3,T4,C1,C2,L1,L2,L3,density,clustering_coefficient,hubs,att_value,att,dataset
0.0255464577448283,0.400047092064987,0.7670207208775901,0.3310572168589593,0.6755356722392277,0.999797083873496,0.0487402872615964,0.0016482222745467,0.0014127619496114,0.8571428571428571,0.0004752046760928,0.0013165352550765,0.7384594759377676,0.2573581351542265,0.7862020249587944,0.9283003901454476,0.3593775320015789,0.9997645396750648,0.0,sex,compas
0.0409011870167318,0.4762366634335596,0.4955256519150922,0.3520853540252182,0.6867119301648884,0.9977835499138726,0.1037827352085354,0.0067895247332686,0.005819592628516,0.8571428571428571,0.0096314023335125,0.0262941430961394,0.7366925132381418,0.2512124151309408,0.7817652764306499,0.9145819404292184,0.355420741004956,0.9990300678952472,1.0,sex,compas
0.0079502995635006,0.5800604229607251,0.4962783306952881,0.4410876132930513,0.972809667673716,0.9948704374731884,0.9909365558912386,0.1238670694864048,0.0876132930513595,0.7073170731707317,0.0041189093377808,0.0113444539233661,0.7346234219985333,0.2779456193353474,0.7190332326283988,0.9281604184829992,0.5565959422256814,0.9946236559139784,0.0,foreigner,catalunya
0.0138867107143737,0.5763358778625954,0.4922924739280192,0.4026717557251908,0.9694656488549618,0.9953601188741916,0.9980916030534353,0.0782442748091603,0.0553435114503816,0.7073170731707317,0.0949556787123003,0.2280846670108415,0.7738391181266314,0.2881679389312977,0.5572519083969466,0.9442224442224444,0.5925777447046938,0.9972527472527472,1.0,foreigner,catalunya
0.0014684699156079,0.6231884057971014,0.4860078782788413,0.4396135265700482,0.8405797101449275,0.9926486032346146,1.0,0.0338164251207729,0.0338164251207729,1.0,0.001364035841428,0.0037735849056602,0.7377074042403168,0.3043478260869565,0.7342995169082126,0.8034098981766516,0.322696778334001,0.9951456310679612,0.0,Age,diabetes-w
0.0008098436314156,0.392156862745098,0.4446304637500701,0.2709447415329769,0.839572192513369,0.9859431051629856,0.998217468805704,0.0124777183600713,0.0124777183600713,1.0,0.1375535994453979,0.3115916760103219,0.8336284896269172,0.1836007130124777,0.7237076648841355,0.7096256684491979,0.2620555423952487,0.998217468805704,1.0,Age,diabetes-w
0.4759168256896068,0.6495278969957081,0.4879104544497331,0.4416309012875536,0.5907296137339055,0.9999226878373152,0.5176824034334764,0.0004291845493562,0.0004291845493562,1.0,0.0032359874338612,0.0089253426772655,0.6710909011830242,0.411587982832618,0.5707296137339056,0.68649641498819,0.046043961243939,0.9999141630901288,0.0,gender,lsat
0.3283940017121053,0.5791505791505791,0.4698606763914092,0.3864313292884721,0.590292333149476,0.9998295572608078,0.549034749034749,0.0005515719801434,0.0005515719801434,1.0,0.0668961854971306,0.1673154925380211,0.7050638063856252,0.3309431880860452,0.5847766133480419,0.7012248257047147,0.0766311949364367,0.9998896856039712,1.0,gender,lsat
9.48821894896968e-08,0.1638652602926165,0.2660022907791322,0.1071793126913915,0.7610751956447771,0.9931342908621384,0.5580129295678802,0.0008166042871725,0.0007485539299081,0.9166666666666666,0.4893909520474112,0.7478822682788233,0.843820576720652,0.0977883633889078,0.5654304185096972,0.0,0.0,0.0,0.0,Sex,adult
2.0327609347049561e-07,0.3321977266026796,0.3562349020507815,0.24283421233662,0.7233596488354571,0.9986355906228418,0.4203164411832149,0.0003930946375339,0.0003275788646116,0.8333333333333334,0.1039873869386586,0.2466272747321902,0.751979265420433,0.2028040750810757,0.7628329020211616,0.0,0.0,0.0,1.0,Sex,adult
0.0224272450694407,0.432755905511811,0.7017396772165164,0.3681889763779528,0.654488188976378,0.9996129208258416,0.0529133858267716,0.0022047244094488,0.0018897637795275,0.8571428571428571,0.0167586434297675,0.0452377244952789,0.7377766211651932,0.2733858267716535,0.7653543307086614,0.9131442974165092,0.3201448926323532,0.9996850393700788,0.0,race,compas
