complete_name,F1v,N1,N2,N3,N4,LSC,T1,C1,C2,L1,L2,L3,density,cls_coef
S1A,0.002201692247351998,0.003553834016773727,0.0058605597264807,0.00872129061323862,0.014005237502785706,0.0023799280167552395,0.009162129565768395,0.0024379738919862006,0.006577448831348899,0.0036138058635076797,0.0017230322471293025,0.011422529294688455,0.0003866785414021745,0.0114385102547623
S1B0,0.004148349839062704,0.004926075268010699,0.007778877699177497,0.0019389313239717154,0.0017389136504102343,0.0005355662717684284,0.005463202728593131,0.0024379738919862006,0.006577448831348899,0.007084228175972318,0.010608657380966224,0.005717105163412173,0.0003808432635886705,0.009832326829956299
S1B1,0.004148349839063002,0.004926075268010699,0.007778877699177601,0.0019389313239717154,0.008303333682564196,0.0005359904460693343,0.0052650652211629345,0.0024379738919862006,0.006577448831348899,0.007085657795198097,0.01060489704870321,0.01587100236176875,0.0003808432635886705,0.009832326829956299
S1B10,0.004148349839062503,0.004926075268010699,0.007778877699177497,0.0019389313239717154,0.012625195562279923,0.0005373324603203944,0.005463202728593131,0.0024379738919862006,0.006577448831348899,0.006568092698539751,0.010002963861886816,0.009496759133637012,0.0003808432635886705,0.009832326829956299
S1B11,0.004148349839062503,0.004926075268010699,0.007778877699177594,0.0019389313239717154,0.0014618091654579057,0.0005373324603203944,0.005463202728593131,0.0024379738919862006,0.006577448831348899,0.0065675551165821355,0.010002963861886816,0.0057509481537788565,0.0003808432635886705,0.009832326829956299
S1B2,0.004148349839063002,0.004926075268010699,0.007778877699177497,0.0019389313239717154,0.004240214665367836,0.0005362953406886639,0.005463202728593131,0.0024379738919862006,0.006577448831348899,0.007042630680345496,0.010601136716440307,0.007411254858479266,0.0003808432635886705,0.009832326829956299
S1B3,0.004148349839063002,0.004926075268010699,0.007778877699177594,0.0019389313239717154,0.00917601079231356,0.0005370848753628588,0.0052650652211629345,0.0024379738919862006,0.006577448831348899,0.006579708070529211,0.010002963861886816,0.003141317566820123,0.0003808432635886705,0.009832326829956299
S1B4,0.004148349839062905,0.004926075268010699,0.007778877699177594,0.0019389313239717154,0.007545066682092094,0.0005373324603203944,0.005463202728593131,0.0024379738919862006,0.006577448831348899,0.006430981899113952,0.009801066022193716,0.013789258418873795,0.0003808432635886705,0.009832326829956299
S1B5,0.004148349839062801,0.004926075268010699,0.007778877699177601,0.0019389313239717154,0.011111101776952959,0.0005373324603203944,0.005463202728593131,0.0024379738919862006,0.006577448831348899,0.00643092107172949,0.009801066022193716,0.005428719681671135,0.0003808432635886705,0.009832326829956299
S1B6,0.004148349839062801,0.004926075268010699,0.007778877699177497,0.0019389313239717154,0.0029235383238462864,0.0005373324603203944,0.005463202728593131,0.0024379738919862006,0.006577448831348899,0.0064309853762383185,0.009801066022193716,0.008894825946820673,0.0003808432635886705,0.009832326829956299
S1B7,0.0041483498390626,0.004926075268010699,0.007778877699177497,0.0019389313239717154,0.01175439861866201,0.0005373324603203944,0.005463202728593131,0.0024379738919862006,0.006577448831348899,0.006433150408017951,0.009801066022193716,0.013598641575969683,0.0003808432635886705,0.009832326829956299
S1B8,0.004148349839062704,0.004926075268010699,0.007778877699177497,0.0019389313239717154,0.002982983576428788,0.0005373324603203944,0.005463202728593131,0.0024379738919862006,0.006577448831348899,0.00656746589162005,0.010002963861886816,0.005603055085947384,0.0003808432635886705,0.009832326829956299
S1B9,0.004148349839062704,0.004926075268010699,0.007778877699177497,0.0019389313239717154,0.0030163865279135837,0.0005373324603203944,0.005463202728593131,0.0024379738919862006,0.006577448831348899,0.006431000568198231,0.009801066022193716,0.011957136532584012,0.0003808432635886705,0.009832326829956299
S1C,0.0,0.008323655478198022,0.02101152459384049,0.015191942360026911,0.06529644959428621,0.0,1.5041329051799948e-05,0.0024379738919862006,0.006577448831348899,0.010599209294345324,0.012989547756439679,0.026516703015878496,0.0030257833611683216,0.0
