complete_name,F1v,N1,N2,N3,N4,LSC,T1,T2,T3,T4,C1,C2,L1,L2,L3,density,cls_coef,hubs,Cluster,Acc_KN,SP_KN,EO_KN,PP_KN,Acc_DT,SP_DT,EO_DT,PP_DT,Acc_LR,SP_LR,EO_LR,PP_LR
catalunya_sex,0.0099243792527245,0.1670013386880857,0.0126795032358837,0.104194556001785,0.0142793395805446,0.0317888640187203,0.0053547523427039,0.3247434181169121,0.2019187862561356,0.073170731707317,0.2418330536390217,0.443269490120722,0.1843540259916165,0.2232262382864792,0.1360999553770637,0.0620763326307767,0.0870073418334019,0.0168395269623792,2,0.6093457943925233,-0.0714543103500226,-0.0290975808129907,0.1409528136716963,0.5892523364485982,-0.1263203192480033,-0.0959355507923446,0.1468029428978711,0.6462616822429907,-0.2293714902849127,-0.1708315810314009,0.1246660058690447
compas_race,0.0233146181727623,0.0246858443693112,0.0491387946150394,0.0866863610664929,0.0354785252414061,7.983978702486016e-05,0.0165112456520681,0.0011238538121394,0.000963303267548,0.0,0.0673414495771676,0.1599196069874539,0.0120837551381257,0.0232669489780253,0.0468569460201212,0.0102110133083097,0.015912032790405,0.0001605505445914,2,0.7227272727272727,-0.3022853454356319,-0.1926152693536085,0.1528502387106342,0.7204545454545455,-0.310034302775618,-0.1959091503156132,0.1407741486728638,0.7384848484848485,-0.3633606235339876,-0.2563747904349038,0.1122111696473604
compas_sex,0.0153547292719035,0.0761895713685725,0.2714950689624979,0.0210281371662588,0.0111762579256606,0.0020135339596233,0.055042447946939,0.0051413024587219,0.0044068306789046,0.0,0.0091561976574197,0.0249776078410629,0.0017669626996258,0.0061457200232857,0.0044367485281445,0.0137184497162292,0.0039567909966228,0.0007344717798176,0,0.7230303030303031,-0.0139815428742205,0.0014608965514856,0.020914335907883,0.7204545454545455,-0.0482224093023628,-0.0118912355628279,-0.007572331167349,0.7384848484848485,-0.051164689416571,-0.049181417902748,0.0187995646239667
credit_sex,3.358553261233067e-06,0.0355761564650539,0.015178143708124,0.0222205536888938,0.005825203876992,0.0001641948976166,0.0147902715521321,0.0003799731421698,0.0002922870324383,0.0,0.0595170351748159,0.0861693403572886,0.0184132273020013,0.0234964244489696,0.0068930731450085,0.0,0.0,0.0,0,0.7865109370780449,0.0366568820051774,0.0238230923415858,-0.0217738426337168,0.7241560896570348,0.0399847288659475,0.0317652828016029,-0.0249422853846555,0.8059546313799621,0.035347940198862,0.0203376577302599,-0.0208325784314208
crime_race,0.0007555007473289,0.2379240630269623,0.0732881999797606,0.1787758457084489,0.0456912234894502,0.0770960597967184,0.0,0.166959801272869,0.0448798148114571,0.0625,0.4785618247395609,0.7077543039803471,0.1372661691063018,0.1062220086671139,0.1294340386695919,0.0558068833486335,0.0704219397749915,0.0017562121820859,1,0.8008016032064129,-0.5515938820458456,-0.3820270589109092,0.141779965684184,0.7392785571142284,-0.4530380067096719,-0.285841388357117,0.2809795097109333,0.829258517034068,-0.5219476590966508,-0.338759634835352,0.0656541791608999
default_SEX,8.476002936611816e-13,0.0452118030950829,0.0100119626725919,0.0318663979236121,0.0088922552777632,0.0001319453238896,0.0012268510812339,0.000635941341805,0.000404689944785,0.0,0.060625559095347,0.0878697679527607,0.0034270644109114,0.0064562387941161,0.0969176685578948,0.0,0.0,0.0,0,0.8075066666666666,-0.0134698320721589,0.0010119535160621,0.0004385691408485,0.7287333333333333,-0.0303464024175575,-0.0132902037895859,0.0150910690019596,0.8092533333333334,-0.0298943462834226,-0.0463335494502426,-0.047549362624274
diabetes-w_Age,0.0006586262841923,0.2310315430520034,0.0413774145287711,0.1686687850370713,0.0010075176315584,0.006705498071629,0.001782531194296,0.0213387067607016,0.0213387067607016,0.0,0.1361895636039699,0.3078180911046617,0.0959210853866003,0.1207471130744787,0.010591852024077,0.0937842297274537,0.0606412359387523,0.0030718377377427,2,0.7229166666666667,-0.3110609292770123,-0.3045726033512721,0.196164614248879,0.684375,-0.2464871257825693,-0.2210505600263612,0.1738371434719949,0.7619791666666667,-0.3219848291365067,-0.2537500630720518,0.1224908146440859
diabetes_Race,0.0946202256204689,0.0119670431727498,0.0067982282684351,0.0056794872316491,0.0495702554269746,0.0001456373617506,0.1774999801921554,0.0009464509374677,0.0007832450046222,0.0714285714285715,0.0094915089810342,0.0149247717158441,0.0037528551611797,0.0058026599044468,0.0064690065048962,0.0,0.0,0.0,0,0.7223059598059598,0.0006130532657023,-0.0001397201550654,0.0058024845076972,0.6296864171864172,-0.0177590426325224,-0.0183474311229156,0.0057038279720379,0.7570426195426195,0.0003142974439462,0.0002957632038564,0.0051663218694415
diabetes_Sex,0.0280279939642307,0.0004843255237431,0.0031043091606272,0.0066773917010641,0.0028749239200809,1.7213623794809507e-05,0.0044155723415245,0.0001182390238755,0.0001492909699599,0.0714285714285715,0.0090520528785708,0.0141560252088844,0.0035641285313698,0.0054991485388984,0.0053331291330494,0.0,0.0,0.0,0,0.7218381843381843,0.0080015417817676,0.0079567881872186,-0.0086224999291898,0.6296864171864172,0.0069179590415181,0.0086333563152485,-0.0104151395254864,0.7570426195426195,-0.0003734718916323,-0.0003686511564379,-0.0086601742817596
drugs_Gender,0.2141174813171436,0.1576821500699083,0.0261714008627237,0.097334702230988,0.0306020673056357,0.0096805376026065,0.0010626968634683,1.2383120231100608e-05,1.1257382028300247e-05,0.0,0.2431269802251018,0.3388321060689621,0.1283391705452696,0.1323913156052081,0.0079589690939834,0.0642969669337288,0.0054308658647663,1.1257382029894458e-06,2,0.7794491525423728,-0.0541029453879942,-0.0415353941107628,0.1138395462376263,0.7180084745762711,-0.09372796073007,-0.0724666695648465,0.1030110609852976,0.7947033898305085,-0.118680857548664,-0.0943735747055087,0.1022484761304123
dutch_Sex,0.006546987701921,0.0544636109147823,0.0331522361166971,0.0272708882226438,0.018606920102662,1.8797353553590135e-05,0.0074297160180434,1.1044879199999572e-06,3.4137223360799964e-05,0.125,0.0726038132934788,0.0732128449247768,0.0689727567469357,0.0564783152188604,0.1405240868155511,0.0,0.0,0.0,0,0.8883217477656405,-0.0062323414308188,0.0481400105737584,0.0034636206167722,0.883482290632241,-0.0080549022175231,0.0465806395576829,0.0180300317220502,0.8728963919232042,0.0055978700349217,0.0680732891832007,0.0204476535874841
